area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,poverty_rate
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.5529999999999999,0.039,0.191,0.081,0.49200000000000005,0.249,0.18,0.141,0.0,0.835,0.02,0.006,0.125376128,0.324974925,0.37311935799999996,0.176529589,11,11,0.305,0.2,0.102,0.08199999999999999,0.14,0.275,14.0,31.22,4899.0,2440.0,year 1,13.6
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.35200000000000004,0.09,0.21,0.063,0.512,0.22899999999999998,0.152,0.01,0.006,0.982,0.0,0.0,0.22233400399999997,0.36921529200000003,0.29577464800000003,0.112676056,13,12,0.414,0.271,0.165,0.105,0.048,0.371,13.0,23.29,3979.0,1669.0,year 2,26.0
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Manufacturing-dependent,0.516,0.052000000000000005,0.17300000000000001,0.08,0.505,0.226,0.187,0.034,0.011000000000000001,0.9109999999999999,0.012,0.002,0.094034378,0.33872598600000003,0.389282103,0.177957533,12,13,0.34600000000000003,0.185,0.10300000000000001,0.064,0.111,0.292,8.0,34.03,1870.0,2660.0,year 1,18.9
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.473,0.051,0.248,0.105,0.505,0.237,0.147,0.063,0.20800000000000002,0.6890000000000001,0.0,0.038,0.160931174,0.301619433,0.30465587,0.232793522,12,10,0.28600000000000003,0.193,0.11900000000000001,0.094,0.111,0.26899999999999996,13.0,17.95,2130.0,1520.0,year 1,16.1
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Farm-dependent,0.594,0.037000000000000005,0.11800000000000001,0.045,0.49700000000000005,0.217,0.228,0.025,0.004,0.96,0.0,0.003,0.06547619,0.380952381,0.366071429,0.1875,12,12,0.312,0.146,0.10800000000000001,0.059000000000000004,0.158,0.293,12.0,18.26,1909.0,2549.0,year 1,12.1
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.473,0.040999999999999995,0.222,0.136,0.5,0.22,0.203,0.055999999999999994,0.003,0.9159999999999999,0.019,0.001,0.109547739,0.389949749,0.338693467,0.161809045,9,12,0.297,0.21364882697947216,0.126,0.068,0.16469557362240286,0.331,10.0,18.45,2694.5,3509.0,year 1,12.3
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Recreation,0.506,0.061,0.13,0.07400000000000001,0.46,0.21,0.18,0.031,0.012,0.89,0.026000000000000002,0.006999999999999999,0.103896104,0.42757242799999995,0.328671329,0.13986014,10,10,0.284,0.192,0.077,0.063,0.212,0.226,12.0,18.45,4150.0,5840.0,year 1,14.0
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.506,0.032,0.38,0.184,0.48,0.294,0.127,0.62,0.011000000000000001,0.36,0.009000000000000001,0.0,0.322580645,0.302052786,0.21994134899999998,0.15542522,16,7,0.307,0.21364882697947216,0.091,0.07,0.16469557362240286,0.25,9.0,22.95,9959.0,5090.0,year 1,15.3
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.539,0.044000000000000004,0.13,0.05,0.505,0.22899999999999998,0.198,0.018000000000000002,0.013999999999999999,0.9640000000000001,0.0,0.0,0.10089020800000001,0.426310584,0.309594461,0.163204748,12,11,0.317,0.23800000000000002,0.102,0.081,0.21899999999999997,0.271,10.0,21.67,5159.0,1999.5,year 1,12.4
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.348,0.085,0.267,0.07200000000000001,0.45,0.23800000000000002,0.12300000000000001,0.051,0.5670000000000001,0.36200000000000004,0.006999999999999999,0.0,0.238670695,0.366565962,0.263846928,0.130916415,14,11,0.41600000000000004,0.242,0.14,0.135,0.121,0.355,12.0,21.71,4639.0,7039.0,year 1,33.8
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.5579999999999999,0.032,0.146,0.065,0.5,0.22899999999999998,0.2,0.023,0.01,0.9540000000000001,0.011000000000000001,0.0,0.078549849,0.365558912,0.34843907399999996,0.207452165,11,14,0.318,0.171,0.087,0.055999999999999994,0.187,0.31,12.0,21.14602162162162,8360.0,4149.0,year 1,10.2
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.531,0.063,0.14400000000000002,0.066,0.49,0.22899999999999998,0.21100000000000002,0.054000000000000006,0.003,0.929,0.0,0.0,0.12136409199999999,0.421263791,0.286860582,0.170511535,10,12,0.287,0.195,0.094,0.04,0.21100000000000002,0.21600000000000003,12.0,14.21,2700.0,950.0,year 1,11.9
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.34600000000000003,0.086,0.175,0.032,0.495,0.226,0.182,0.023,0.349,0.5870000000000001,0.0,0.0,0.225252525,0.358585859,0.34444444399999996,0.071717172,16,11,0.324,0.21364882697947216,0.121,0.11599999999999999,0.16469557362240286,0.28300000000000003,13.0,22.39,3809.0,3870.0,year 1,28.0
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.419,0.047,0.317,0.16699999999999998,0.48700000000000004,0.235,0.20600000000000002,0.22,0.057999999999999996,0.695,0.002,0.009000000000000001,0.211881188,0.338613861,0.279207921,0.17029703,12,9,0.3,0.21364882697947216,0.113,0.094,0.16469557362240286,0.28600000000000003,10.0,21.14602162162162,1330.0,809.0,year 1,17.3
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.435,0.071,0.257,0.081,0.45899999999999996,0.215,0.132,0.031,0.276,0.6709999999999999,0.005,0.0,0.237103175,0.44047619,0.217261905,0.10515873,10,10,0.32299999999999995,0.21364882697947216,0.128,0.098,0.16469557362240286,0.28800000000000003,13.0,19.12,5840.0,3360.0,year 1,18.6
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.516,0.045,0.113,0.034,0.51,0.22699999999999998,0.153,0.124,0.02,0.747,0.0,0.09300000000000001,0.065173116,0.220977597,0.197556008,0.516293279,9,7,0.20600000000000002,0.11699999999999999,0.08199999999999999,0.084,0.174,0.196,11.0,3.82,929.0,980.0,year 1,5.0
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.45799999999999996,0.18600000000000003,0.369,0.111,0.499,0.273,0.193,0.627,0.008,0.34700000000000003,0.025,0.008,0.312248996,0.31726907600000004,0.25602409600000003,0.114457831,16,13,0.266,0.18600000000000003,0.095,0.092,0.158,0.23600000000000002,10.0,26.82,3190.0,2099.0,year 2,30.2
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.341,0.087,0.278,0.065,0.502,0.237,0.18899999999999997,0.062,0.534,0.38799999999999996,0.003,0.01,0.20696517399999997,0.446766169,0.239800995,0.10646766199999999,10,11,0.38,0.369,0.168,0.122,0.16469557362240286,0.36700000000000005,12.0,27.68,2260.0,1140.0,year 1,31.7
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.48100000000000004,0.09699999999999999,0.166,0.036000000000000004,0.514,0.214,0.193,0.006,0.0,0.968,0.006,0.001,0.12674650699999998,0.41716566899999996,0.323353293,0.132734531,10,12,0.319,0.165,0.099,0.109,0.16469557362240286,0.27399999999999997,12.0,17.91,3629.0,2889.0,year 2,14.8
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.517,0.07400000000000001,0.304,0.141,0.48700000000000004,0.235,0.10800000000000001,0.049,0.0,0.657,0.147,0.066,0.078921079,0.331668332,0.354645355,0.234765235,13,7,0.29600000000000004,0.22399999999999998,0.075,0.051,0.212,0.217,11.626422250316056,21.14602162162162,1759.0,1039.0,year 2,12.2
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.515,0.045,0.152,0.055,0.514,0.253,0.124,0.024,0.009000000000000001,0.946,0.001,0.006999999999999999,0.097487437,0.348743719,0.286432161,0.267336683,11,8,0.27899999999999997,0.223,0.10400000000000001,0.062,0.14400000000000002,0.263,13.0,8.97,2559.0,1389.0,year 1,9.3
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.365,0.094,0.301,0.08900000000000001,0.499,0.247,0.16,0.036000000000000004,0.335,0.603,0.0,0.016,0.23402163199999998,0.40117994100000004,0.255653884,0.10914454300000001,14,12,0.318,0.21364882697947216,0.11800000000000001,0.091,0.16469557362240286,0.28300000000000003,13.0,26.73,11430.0,2079.0,year 1,26.0
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.426,0.052000000000000005,0.209,0.061,0.506,0.20600000000000002,0.17300000000000001,0.015,0.013999999999999999,0.9540000000000001,0.0,0.008,0.193939394,0.42626262600000003,0.247474747,0.13232323199999999,11,13,0.307,0.28300000000000003,0.11699999999999999,0.10400000000000001,0.16469557362240286,0.331,14.0,30.29,4590.0,3450.0,year 1,15.8
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.43700000000000006,0.08199999999999999,0.254,0.1,0.513,0.17800000000000002,0.271,0.022000000000000002,0.009000000000000001,0.948,0.008,0.002,0.139442231,0.393426295,0.301792829,0.165338645,8,12,0.319,0.239,0.11599999999999999,0.071,0.165,0.295,10.0,20.55,7819.0,3149.0,year 1,14.5
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.376,0.071,0.33,0.10800000000000001,0.503,0.29,0.179,0.905,0.01,0.08,0.017,0.008,0.294001967,0.377581121,0.21533923300000002,0.113077679,18,13,0.285,0.21364882697947216,0.10099999999999999,0.122,0.16469557362240286,0.29600000000000004,9.0,27.89,7220.0,1999.5,year 2,32.4
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.473,0.039,0.253,0.109,0.515,0.24,0.129,0.226,0.077,0.6659999999999999,0.008,0.012,0.133004926,0.29458128100000003,0.325123153,0.24729064,15,9,0.285,0.215,0.106,0.091,0.092,0.301,10.0,16.65,1649.0,1540.0,year 2,17.0
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.392,0.09,0.335,0.145,0.48200000000000004,0.282,0.127,0.569,0.06,0.369,0.017,0.001,0.276302852,0.32055063899999997,0.2546706,0.14847591,14,9,0.281,0.28,0.096,0.092,0.16469557362240286,0.302,9.0,18.81,3269.0,2430.0,year 2,23.6
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.429,0.076,0.185,0.047,0.49700000000000005,0.2,0.19699999999999998,0.052000000000000005,0.01,0.915,0.004,0.008,0.151911469,0.309859155,0.32293762600000003,0.215291751,11,12,0.33299999999999996,0.21364882697947216,0.106,0.081,0.16469557362240286,0.28300000000000003,13.0,16.78,2510.0,1349.0,year 1,15.4
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.396,0.084,0.483,0.15,0.524,0.313,0.10800000000000001,0.879,0.005,0.099,0.003,0.013000000000000001,0.348860258,0.239841427,0.241823588,0.169474727,18,6,0.27399999999999997,0.128,0.079,0.08,0.165,0.21,9.0,7.83,4109.0,2249.0,year 2,35.1
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.386,0.09,0.191,0.064,0.45299999999999996,0.192,0.185,0.003,0.075,0.731,0.136,0.009000000000000001,0.177664975,0.439593909,0.24771573600000002,0.135025381,9,11,0.322,0.24100000000000002,0.11,0.063,0.23,0.218,10.0,21.14602162162162,1729.0,960.0,year 1,18.0
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.469,0.06,0.16399999999999998,0.07200000000000001,0.512,0.204,0.193,0.002,0.008,0.973,0.002,0.0,0.11422845699999999,0.514028056,0.22745491,0.144288577,11,12,0.28800000000000003,0.261,0.121,0.086,0.21100000000000002,0.31,13.0,16.04,2389.0,2140.0,year 2,13.0
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Mining-dependent,0.33299999999999996,0.09699999999999999,0.19399999999999998,0.064,0.51,0.20800000000000002,0.162,0.008,0.008,0.976,0.005,0.005,0.261645193,0.36273538200000005,0.23785926699999999,0.137760159,11,13,0.359,0.311,0.149,0.106,0.068,0.33899999999999997,13.0,29.06,1660.0,1159.0,year 1,25.6
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.515,0.044000000000000004,0.23,0.086,0.527,0.21899999999999997,0.11,0.133,0.379,0.41700000000000004,0.012,0.051,0.12219959300000001,0.175152749,0.246435845,0.45621181299999997,15,6,0.294,0.133,0.09,0.083,0.14300000000000002,0.20199999999999999,12.0,11.51,1459.0,799.0,year 2,17.2
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.425,0.07200000000000001,0.244,0.08,0.516,0.23800000000000002,0.141,0.023,0.302,0.654,0.006999999999999999,0.008,0.20600000000000002,0.297,0.335,0.162,11,10,0.355,0.247,0.168,0.1,0.133,0.355,12.0,31.8,4050.0,3560.0,year 1,19.1
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.405,0.092,0.258,0.084,0.537,0.242,0.155,0.008,0.579,0.392,0.01,0.005,0.210040984,0.33299180300000003,0.279713115,0.177254098,10,11,0.4,0.252,0.146,0.133,0.044000000000000004,0.38299999999999995,12.0,13.45,6800.0,2259.0,year 1,27.1
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.424,0.066,0.16,0.073,0.47100000000000003,0.191,0.196,0.036000000000000004,0.03,0.9159999999999999,0.003,0.008,0.108782435,0.44710578799999995,0.25049900199999997,0.193612774,8,11,0.294,0.19,0.11699999999999999,0.071,0.18,0.235,12.0,21.31,2140.0,2030.0,year 2,14.0
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.531,0.061,0.307,0.125,0.512,0.223,0.152,0.276,0.27399999999999997,0.39899999999999997,0.0,0.043,0.10885045800000001,0.271617497,0.304170905,0.315361139,12,8,0.25,0.146,0.08900000000000001,0.08,0.154,0.228,11.0,11.28,1479.0,1339.0,year 1,13.9
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.491,0.064,0.221,0.08900000000000001,0.512,0.22899999999999998,0.163,0.08800000000000001,0.054000000000000006,0.8290000000000001,0.0,0.01,0.148258706,0.39104477600000004,0.27064676600000004,0.19004975100000002,13,12,0.33299999999999996,0.293,0.11800000000000001,0.086,0.175,0.295,9.0,18.17,3529.0,1789.0,year 2,16.8
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.528,0.033,0.12,0.073,0.485,0.223,0.191,0.023,0.0,0.9570000000000001,0.015,0.004,0.063189569,0.300902708,0.467402207,0.168505517,13,10,0.29,0.237,0.106,0.06,0.247,0.285,10.0,21.14602162162162,2599.0,1999.5,year 1,7.9
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.545,0.023,0.13,0.08,0.49200000000000005,0.207,0.24600000000000002,0.006,0.012,0.976,0.005,0.0,0.13267326699999998,0.308910891,0.34257425700000005,0.21584158399999998,15,9,0.322,0.271,0.11199999999999999,0.035,0.133,0.282,10.0,21.14602162162162,2694.5,4110.0,year 1,11.3
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.43,0.054000000000000006,0.285,0.138,0.503,0.24100000000000002,0.196,0.126,0.042,0.815,0.013000000000000001,0.006,0.149149149,0.331331331,0.33033033,0.18918918899999998,10,10,0.28300000000000003,0.21364882697947216,0.114,0.071,0.16469557362240286,0.299,10.0,23.38,5369.0,2630.0,year 2,17.2
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.518,0.066,0.13699999999999998,0.069,0.488,0.243,0.17300000000000001,0.016,0.009000000000000001,0.973,0.005,0.01,0.095334686,0.387423935,0.342799189,0.17444219100000002,12,9,0.28,0.20800000000000002,0.08800000000000001,0.064,0.23,0.22,12.0,16.91,3350.0,1740.0,year 2,12.5
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.35100000000000003,0.085,0.275,0.09,0.508,0.231,0.124,0.016,0.192,0.7709999999999999,0.003,0.004,0.166666667,0.34424603200000004,0.35515873,0.133928571,12,10,0.319,0.239,0.114,0.099,0.09,0.313,12.0,26.1,6479.0,3560.0,year 2,19.6
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.47600000000000003,0.061,0.158,0.048,0.505,0.221,0.18600000000000003,0.012,0.013000000000000001,0.9540000000000001,0.013000000000000001,0.006,0.078947368,0.376518219,0.346153846,0.19838056699999998,11,11,0.33399999999999996,0.24,0.11900000000000001,0.069,0.207,0.245,11.0,13.68,1499.0,1500.0,year 1,12.9
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.446,0.067,0.24,0.079,0.514,0.23399999999999999,0.192,0.015,0.292,0.6729999999999999,0.001,0.003,0.208970438,0.336391437,0.325178389,0.129459735,12,10,0.348,0.174,0.156,0.134,0.11,0.35200000000000004,12.0,23.93,2790.0,2780.0,year 1,24.0
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.41700000000000004,0.092,0.22899999999999998,0.069,0.522,0.264,0.16399999999999998,0.059000000000000004,0.10099999999999999,0.8240000000000001,0.002,0.003,0.267947422,0.381193124,0.235591507,0.115267947,14,13,0.349,0.309,0.11599999999999999,0.11599999999999999,0.16469557362240286,0.402,13.0,31.9,4060.0,1680.0,year 2,29.7
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Farm-dependent,0.35700000000000004,0.066,0.299,0.147,0.46399999999999997,0.233,0.159,0.036000000000000004,0.083,0.633,0.203,0.001,0.2,0.379,0.298,0.12300000000000001,13,16,0.34700000000000003,0.254,0.132,0.086,0.16469557362240286,0.342,10.0,27.58,6790.0,6169.0,year 2,25.5
